Date,Open,High,Low,Close,Adj Close,Volume
2017-06-29,146.509995,146.830002,143.199997,143.800003,90.187592,48806780
2017-06-30,143.199997,146.729996,142.880005,145.589996,91.310234,67210530
2017-07-03,146.649994,148.300003,146.220001,147.500000,92.508133,38410910
2017-07-04,147.500000,149.800003,147.110001,149.389999,93.693504,40165050
2017-07-05,149.389999,149.789993,147.889999,148.960007,93.423805,48191260
2017-07-06,149.199997,151.029999,148.899994,150.350006,94.295586,51568320
2017-07-07,149.649994,152.500000,149.059998,152.160004,95.430771,57150370
2017-07-10,153.070007,155.339996,152.949997,155.000000,97.211945,63627126
2017-07-11,155.550003,157.000000,154.949997,156.910004,98.409836,57224687
2017-07-12,157.529999,160.990005,157.500000,160.850006,100.880913,70426950
2017-07-13,161.460007,162.619995,158.339996,159.940002,100.310188,71818770
2017-07-14,159.899994,162.259995,159.429993,161.399994,101.225845,43599593
2017-07-17,161.800003,163.100006,159.820007,161.979996,101.589607,40218964
2017-07-18,162.000000,162.990005,160.880005,161.699997,101.414001,36470790
2017-07-19,161.300003,164.339996,160.529999,164.339996,103.069748,56474420
2017-07-20,164.059998,164.910004,163.470001,163.929993,102.812607,41944463
2017-07-21,163.990005,163.990005,161.720001,162.100006,101.664879,35023110
2017-07-24,161.210007,162.330002,158.600006,161.330002,101.181946,57495791
2017-07-25,161.660004,162.300003,159.919998,160.220001,100.485786,43219118
2017-07-26,160.710007,162.309998,160.119995,161.550003,101.319939,42613230
2017-07-27,162.410004,166.000000,162.399994,166.000000,104.110847,55346876
2017-07-28,165.369995,165.750000,163.149994,165.399994,103.734550,50132680
2017-07-31,165.529999,167.350006,163.880005,164.529999,103.188911,55781552
2017-08-01,165.500000,168.000000,165.300003,166.309998,104.305275,55355187
2017-08-02,166.600006,169.940002,166.539993,169.899994,106.556816,55341012
2017-08-03,170.000000,170.979996,169.169998,170.000000,106.619553,56318763
2017-08-04,169.490005,170.000000,168.600006,169.729996,106.450218,27204000
2017-08-07,170.470001,172.949997,170.380005,172.789993,108.369370,35534035
2017-08-08,173.000000,175.880005,172.660004,175.750000,110.225792,50531372
2017-08-09,174.800003,175.199997,172.800003,173.399994,108.751938,49021530
2017-08-10,173.750000,174.160004,172.009995,172.199997,107.999329,30020500
2017-08-11,171.259995,172.490005,168.639999,172.050003,107.905266,60812400
2017-08-14,173.000000,173.770004,171.369995,172.509995,108.193756,30902101
2017-08-15,172.309998,172.720001,170.460007,172.330002,108.080864,30385090
2017-08-16,172.949997,175.300003,172.830002,173.050003,108.532425,41837702
2017-08-17,172.500000,173.990005,172.270004,172.720001,108.325462,26052710
2017-08-18,171.710007,171.710007,168.130005,169.500000,106.305962,52379130
2017-08-21,169.770004,170.690002,168.500000,169.899994,106.556816,36731731
2017-08-22,171.199997,171.699997,169.699997,171.000000,107.246719,37858790
2017-08-23,171.000000,175.300003,170.979996,175.300003,109.943558,55467240
2017-08-24,175.500000,179.940002,175.300003,179.800003,112.765854,78591505
2017-08-25,180.850006,182.250000,179.600006,180.509995,113.211128,68786625
2017-08-28,180.600006,181.850006,179.199997,181.850006,114.051567,27960960
2017-08-29,182.000000,182.000000,179.509995,181.889999,114.076645,46130830
2017-08-30,182.500000,184.479996,180.850006,183.500000,115.086380,48549170
2017-08-31,182.990005,186.330002,181.710007,183.509995,115.092659,64267180
2017-09-01,183.850006,185.330002,182.020004,183.660004,115.186745,34360115
2017-09-04,181.509995,185.270004,180.929993,184.100006,115.462708,25717519
2017-09-05,184.389999,185.589996,183.330002,184.139999,115.487770,34342180
2017-09-06,183.250000,183.729996,181.470001,183.119995,114.848053,33518700
2017-09-07,183.470001,185.250000,183.320007,184.000000,115.399986,45668560
2017-09-08,184.100006,187.429993,183.770004,185.889999,116.585327,60690504
2017-09-11,186.699997,191.300003,186.509995,190.500000,119.476616,61682296
2017-09-12,191.029999,192.309998,188.139999,189.320007,118.736549,50535750
2017-09-13,189.320007,190.949997,188.399994,189.100006,118.598579,47811940
2017-09-14,189.000000,189.389999,186.000000,188.639999,118.310066,38052225
2017-09-15,188.729996,189.300003,186.720001,188.750000,118.379059,44784390
2017-09-18,189.559998,190.369995,187.309998,188.039993,117.933769,29580441
2017-09-19,187.679993,187.720001,184.550003,184.850006,115.933075,41401289
2017-09-20,184.500000,186.470001,182.649994,186.470001,116.949112,50035550
2017-09-21,186.399994,188.369995,183.800003,187.380005,117.519821,41621355
2017-09-22,187.350006,188.770004,186.770004,187.550003,117.626450,37307814
2017-09-25,187.369995,191.380005,186.369995,191.199997,119.915627,64177071
2017-09-26,191.559998,195.000000,191.539993,192.539993,120.756042,82080305
2017-09-27,192.940002,194.289993,191.199997,193.699997,121.483559,55030942
2017-09-28,193.679993,194.300003,191.529999,191.960007,120.392288,39113081
2017-09-29,192.000000,192.940002,190.800003,192.330002,120.624352,26325574
2017-10-02,192.759995,194.100006,191.100006,193.000000,121.044540,35954811
2017-10-03,193.279999,193.869995,192.130005,192.500000,120.730965,28657990
2017-10-04,192.490005,192.589996,191.220001,192.029999,120.436188,26536581
2017-10-05,192.000000,193.929993,189.059998,193.740005,121.508667,49466550
2017-10-06,194.300003,196.419998,193.669998,194.160004,121.772072,52399742
2017-10-09,194.199997,194.899994,192.580002,194.000000,121.671707,27756710
2017-10-10,194.300003,194.449997,192.949997,193.210007,121.176270,17832400
2017-10-11,193.949997,196.750000,193.559998,195.830002,122.819443,58002027
2017-10-12,195.850006,196.750000,194.949997,195.509995,122.618752,34969750
2017-10-13,195.619995,197.289993,195.199997,196.479996,123.227112,30338962
2017-10-16,197.529999,198.520004,196.699997,197.699997,123.992256,26979475
2017-10-17,197.300003,198.000000,196.070007,197.199997,123.678673,26239765
2017-10-18,197.500000,197.889999,194.009995,195.309998,122.493317,43547050
2017-10-19,195.259995,195.690002,191.809998,192.199997,120.542816,40359727
2017-10-20,193.600006,194.139999,192.229996,192.970001,121.025726,29002930
2017-10-23,193.410004,193.639999,190.820007,192.339996,120.630615,26949930
2017-10-24,191.639999,192.919998,190.130005,192.500000,120.730965,28265140
2017-10-25,193.000000,194.369995,192.039993,192.039993,120.442451,32303520
2017-10-26,192.649994,193.500000,190.720001,192.750000,120.887756,25634660
2017-10-27,193.529999,196.179993,192.869995,196.050003,122.957428,46796610
2017-10-30,196.320007,197.699997,195.000000,195.000000,122.298882,31938210
2017-10-31,194.809998,196.360001,193.800003,193.800003,121.546288,25643940
2017-11-01,194.490005,197.050003,193.330002,194.050003,121.703064,40292910
2017-11-02,193.779999,195.119995,192.380005,193.850006,121.577660,33747055
2017-11-03,194.770004,195.750000,193.199997,193.800003,121.546288,30616870
2017-11-07,196.500000,206.699997,195.559998,205.960007,129.172729,135176600
2017-11-08,205.949997,211.770004,204.059998,209.089996,131.135773,88294795
2017-11-09,209.509995,221.500000,209.119995,220.050003,138.009613,116668980
2017-11-10,221.000000,229.399994,216.610001,217.699997,136.535736,143573000
2017-11-13,217.699997,223.990005,215.779999,216.610001,135.852127,50943980
2017-11-14,216.500000,222.199997,215.960007,221.399994,138.856293,45905390
2017-11-15,222.500000,227.750000,221.539993,225.949997,141.709915,72221717
